    target  count  region      srcs
 0x201509c     1  decomp      0x2017b30
 0x20150d8     3  decomp      0x2017594, 0x202bd48, 0x203f984
 0x2015138     1  decomp      0x20151c8
 0x20151a4     3  decomp      0x2017580, 0x202bd28, 0x203f964
 0x20151dc     2  decomp      0x20156a4, 0x20156fc
 0x20151f8     2  decomp      0x2015604, 0x2015624
 0x2015210     1  decomp      0x201573c
 0x201532c     1  decomp      0x2016a4c
 0x2015384     2  decomp      0x2015410, 0x201b850
 0x20153b4     1  decomp      0x2017c00
 0x20153cc     2  decomp      0x201561c, 0x2019468
 0x2015444    12  decomp      0x20153e0, 0x20154f8, 0x2015500, 0x2015530, 0x2015590, 0x20155fc
 0x20154cc     1  decomp      0x203fb74
 0x2015520     7  decomp      0x201b094, 0x201bcb8, 0x201debc, 0x2030e04, 0x2036e58, 0x203cf38
 0x2015550     3  decomp      0x2017d78, 0x201b828, 0x203cec8
 0x20155b8     1  decomp      0x20177e4
 0x20155d4     1  decomp      0x2015740
 0x20155f0     1  decomp      0x20156d4
 0x2015634     4  decomp      0x2017780, 0x2017798, 0x201bab4, 0x203d038
 0x2015680     4  decomp      0x20177ac, 0x20177c0, 0x20177d4, 0x203fb68
 0x20156b8     2  decomp      0x2017d70, 0x203ced4
 0x201577c     2  decomp      0x2015800, 0x2015864
 0x2015794     1  decomp      0x2017768
 0x2015a60     2  decomp      0x2018fa4, 0x20191d8
 0x2015ad0     1  decomp      0x202d0d0
 0x2015ce8     4  decomp      0x2015bc4, 0x2015be0, 0x2015c3c, 0x2015c58
 0x2015ee8     5  decomp      0x20149f4, 0x20161f8, 0x2016250, 0x2016284, 0x20162b8
 0x20161a4    21  decomp      0x203afa4, 0x203b098, 0x203b0f0, 0x203b134, 0x203b170, 0x203b264
 0x201625c    22  decomp      0x2015abc, 0x203aad4, 0x203ab24, 0x203ab8c, 0x203abd4, 0x203ac48
 0x2016294     1  decomp      0x203181c
 0x20162c8     4  decomp      0x2019500, 0x2019618, 0x20196e0, 0x20196f0
 0x2016730     5  decomp      0x2016338, 0x2016500, 0x2016654, 0x20167ac, 0x2016818
 0x2016984     8  decomp      0x2016464, 0x20212bc, 0x2021404, 0x2021ae8, 0x2029bf0, 0x2029ea8
 0x20169b4     1  decomp      0x2016990
 0x20169cc     1  decomp      0x201698c
 0x20169e4     1  decomp      0x20169a8
 0x20169fc     1  decomp      0x20169a4
 0x2016cd4     1  decomp      0x2016cc4
 0x2016d88     2  decomp      0x2016cb8, 0x20215bc
 0x2016df4     5  decomp      0x203a7ec, 0x203a908, 0x203aa14, 0x203c624, 0x203c63c
 0x2016e38     4  decomp      0x2019788, 0x20197f4, 0x202db88, 0x203c598
 0x2016e9c     7  decomp      0x201d27c, 0x201d344, 0x201d4a8, 0x201d5d0, 0x2031718, 0x2031788
 0x2017400     1  decomp      0x20176f4
 0x2017460     1  decomp      0x2017bec
 0x20177f0     2  decomp      0x20176dc, 0x2017710
 0x2017898     1  decomp      0x201783c
 0x2017eb0     1  decomp      0x2018030
 0x2017f58     1  decomp      0x2013abc
 0x201803c     1  decomp      0x2013ae0
 0x20180d0     1  decomp      0x2013aec
 0x20181e8     1  decomp      0x2013ad4
 0x20182c4     1  decomp      0x2013ac8
 0x201845c     1  decomp      0x203fbec
 0x20185c8     1  decomp      0x2013af8
 0x20186c0     1  decomp      0x2019348
 0x20186fc     1  decomp      0x2019338
 0x2018758     1  decomp      0x20192e0
 0x20187b4     2  decomp      0x201884c, 0x20188cc
 0x2018814     2  decomp      0x20190e8, 0x201928c
 0x2018920     1  decomp      0x20189d8
 0x2018954     1  decomp      0x20189cc
 0x2018a54     1  decomp      0x2019434
 0x2018ae0     2  decomp      0x201c5f0, 0x201c778
 0x2019480     2  decomp      0x201941c, 0x2019430
 0x20194a8     2  decomp      0x201907c, 0x2019288
 0x20194e0     1  decomp      0x2018bc0
 0x2019574     1  decomp      0x2019600
