start	end	size	refs
0x0200CEEC	0x0201C51C	63024	1
0x0200CF08	0x0201C51C	62996	1
0x0200D330	0x0201C51C	61932	1
0x0200D450	0x0201C51C	61644	1
0x0200D4D4	0x0201C51C	61512	1
0x0200D508	0x0201C51C	61460	2
0x0200D5D0	0x0201C51C	61260	1
0x0200D6A8	0x0201D68C	65508	1
0x0200D6F4	0x0201D68C	65432	3
0x0200D700	0x0201D68C	65420	5
0x0200D710	0x0201D68C	65404	5
0x0200D740	0x0201D68C	65356	1
0x0200D760	0x0201D68C	65324	8
0x0200D774	0x0201D68C	65304	0
0x0200D790	0x0201D68C	65276	0
0x0200D7EC	0x0201D68C	65184	1
0x0200D7FC	0x0201D68C	65168	2
0x0200D828	0x0201D68C	65124	1
0x0200D838	0x0201D68C	65108	1
0x0200D938	0x0201D68C	64852	1
0x0200D9DC	0x0201D68C	64688	1
0x0200DA78	0x0201D68C	64532	1
0x0200DAC0	0x0201D68C	64460	1
0x0200DDDC	0x0201D68C	63664	3
0x0200DDE8	0x0201D68C	63652	2
0x0200DDF4	0x0201D68C	63640	3
0x0200DF3C	0x0201DF3C	65536	1
0x0200DF50	0x0201DF50	65536	15
0x0200DF64	0x0201DF64	65536	15
0x0200E058	0x0201DF90	65336	0
0x0200E254	0x0201E254	65536	1
0x0200E260	0x0201E260	65536	1
0x0200E26C	0x0201E26C	65536	3
0x0200E2F0	0x0201E2E0	65520	1
0x0200E418	0x0201E418	65536	0
0x0200E4C4	0x0201E41C	65368	2
0x0200E52C	0x0201E41C	65264	0
0x0200E62C	0x0201E41C	65008	1
0x0200E7A0	0x0201E750	65456	0
0x0200E880	0x0201E880	65536	1
0x0200E8D8	0x0201E89C	65476	3
0x0200E978	0x0201E89C	65316	1
0x0200EA10	0x0201EA10	65536	5
0x0200EB64	0x0201EA98	65332	0
0x0200EBC0	0x0201EA98	65240	0
0x0200EC10	0x0201EA98	65160	1
0x0200EC74	0x0201EA98	65060	2
0x0200ECE4	0x0201EA98	64948	1
0x0200ED5C	0x0201EA98	64828	1
0x0200ED6C	0x0201EA98	64812	1
0x0200EDEC	0x0201EA98	64684	1
0x0200EE24	0x0201EA98	64628	2
0x0200EEAC	0x0201EEAC	65536	2
0x0200EEE0	0x0201EEE0	65536	1
0x0200EEFC	0x0201EEFC	65536	0
0x0200F2E0	0x0201F2E0	65536	7
0x0200F388	0x0201F388	65536	2
0x0200F3E4	0x0201F3BC	65496	9
0x0200F400	0x0201F3BC	65468	8
0x0200F488	0x0201F3BC	65332	7
0x0200F540	0x0201F3BC	65148	1
0x0200F5B4	0x0201F3BC	65032	6
0x0200F5CC	0x0201F3BC	65008	1
0x0200F650	0x0201F3BC	64876	1
0x0200F848	0x0201F840	65528	1
0x0200F87C	0x0201F840	65476	2
0x0200F998	0x0201F968	65488	1
0x0200FA3C	0x0201FA3C	65536	0
0x0200FAE4	0x0201FAE4	65536	2
0x0200FB10	0x0201FB10	65536	1
0x0200FD74	0x0201FD74	65536	1
0x0200FDDC	0x0201FDDC	65536	3
0x0200FEBC	0x0201FEBC	65536	1
0x0200FF08	0x0201FF08	65536	1
0x0201028C	0x0202028C	65536	0
0x0201034C	0x0202034C	65536	1
0x02010454	0x02020454	65536	1
0x0201049C	0x0202049C	65536	2
0x020104DC	0x020204DC	65536	2
0x020105D0	0x020205D0	65536	4
0x020109C0	0x020208FC	65340	2
0x020109FC	0x020208FC	65280	0
0x02010A68	0x020208FC	65172	2
0x02010BDC	0x020208FC	64800	1
0x02010CE0	0x02020CE0	65536	0
0x02010E20	0x02020E20	65536	0
0x02010F8C	0x02020F8C	65536	0
0x020110A0	0x020210A0	65536	1
0x02011420	0x02021420	65536	0
0x02011814	0x02021814	65536	1
0x02011884	0x02021884	65536	4
0x020119D0	0x020219D0	65536	2
0x02011C38	0x02021C38	65536	2
0x02011D9C	0x02021D9C	65536	2
0x02011E60	0x02021E24	65476	2
0x02011F20	0x02021E24	65284	2
0x02012084	0x02021E24	64928	2
0x020120F8	0x02021E24	64812	2
0x02012170	0x02021E24	64692	2
0x020128CC	0x020228CC	65536	1
0x02012AA4	0x02022AA4	65536	1
0x02012B90	0x02022B90	65536	2
0x02012C1C	0x02022C1C	65536	3
0x02012CB4	0x02022CB4	65536	1
0x02012DC0	0x02022DC0	65536	1
0x02012E2C	0x02022E2C	65536	2
0x02012EC4	0x02022EC4	65536	1
0x02012F44	0x02022F44	65536	1
0x02012FC4	0x02022FC4	65536	2
0x0201308C	0x0202308C	65536	3
0x02013120	0x020230F4	65492	2
0x020131E8	0x020230F4	65292	3
0x0201327C	0x02023278	65532	1
0x02013324	0x02023324	65536	2
0x020133B8	0x020233B8	65536	2
0x02013470	0x02023470	65536	1
0x02013508	0x02023508	65536	1
0x02013540	0x02023540	65536	1
0x02013608	0x02023608	65536	1
0x020136D4	0x020236D4	65536	1
0x020137A8	0x020237A8	65536	1
0x02013934	0x02023934	65536	1
0x02013BD0	0x02023BD0	65536	1
0x02013CCC	0x02023CCC	65536	1
0x02013DBC	0x02023DBC	65536	1
0x02013E84	0x02023E84	65536	1
0x02013EB4	0x02023EB4	65536	1
0x02013F0C	0x02023F0C	65536	1
0x02013F60	0x02023F60	65536	2
